ans,contrast,shift,delay,figure
1.0,-1.0,16.241610738255034,0.4766271114349365,3.0
1.0,1.0,11.409395973154364,0.2747201919555664,8.0
1.0,1.0,-8.187919463087248,0.1914670467376709,3.0
1.0,1.0,4.966442953020135,0.16337084770202637,9.0
1.0,-1.0,-17.583892617449663,0.12475204467773438,8.0
1.0,-1.0,13.557046979865774,0.3945341110229492,8.0
-1.0,1.0,-15.973154362416107,0.2887721061706543,9.0
1.0,1.0,11.946308724832214,0.15584588050842285,9.0
1.0,-1.0,-2.550335570469798,0.25578999519348145,8.0
1.0,-1.0,9.261744966442954,0.20121312141418457,3.0
-1.0,1.0,-12.483221476510067,0.2447371482849121,8.0
-1.0,-1.0,-14.36241610738255,0.2561500072479248,8.0
1.0,-1.0,13.288590604026844,1.4409408569335938,3.0
1.0,1.0,2.0134228187919447,0.27139806747436523,3.0
1.0,1.0,15.436241610738257,0.3975040912628174,8.0
1.0,-1.0,-18.120805369127517,0.2714231014251709,3.0
-1.0,-1.0,8.993288590604028,0.22005796432495117,9.0
1.0,1.0,18.38926174496644,0.20671486854553223,8.0
-1.0,1.0,19.463087248322147,0.23924612998962402,8.0
1.0,-1.0,14.36241610738255,0.23378896713256836,8.0
-1.0,1.0,16.510067114093957,0.1944589614868164,8.0
1.0,1.0,17.31543624161074,0.21253108978271484,3.0
-1.0,1.0,-8.724832214765101,0.19183993339538574,9.0
1.0,-1.0,6.308724832214764,0.16382098197937012,3.0
-1.0,-1.0,-9.53020134228188,0.2048490047454834,8.0
-1.0,-1.0,-7.1140939597315445,0.2206130027770996,3.0
-1.0,1.0,-1.476510067114095,0.20577216148376465,8.0
-1.0,-1.0,3.624161073825505,0.19165301322937012,8.0
-1.0,1.0,-15.70469798657718,0.211961030960083,9.0
1.0,-1.0,-11.677852348993289,0.14316511154174805,9.0
1.0,-1.0,-7.919463087248323,0.18793201446533203,9.0
1.0,-1.0,-5.771812080536913,0.22293806076049805,9.0
1.0,-1.0,-17.85234899328859,0.15984296798706055,9.0
1.0,1.0,1.2080536912751683,0.24216699600219727,3.0
1.0,-1.0,-3.0872483221476514,0.20762205123901367,3.0
1.0,1.0,6.845637583892618,0.16291499137878418,9.0
1.0,-1.0,-20.0,0.13115310668945312,3.0
1.0,-1.0,-0.40268456375838824,0.28500986099243164,8.0
1.0,-1.0,8.456375838926174,0.15972900390625,8.0
-1.0,-1.0,-10.604026845637584,0.2875099182128906,8.0
-1.0,-1.0,3.0872483221476514,0.19130206108093262,3.0
-1.0,1.0,-5.2348993288590595,0.27176785469055176,3.0
-1.0,1.0,7.1140939597315445,0.19684410095214844,3.0
1.0,-1.0,-19.731543624161073,0.1507568359375,9.0
1.0,-1.0,-11.946308724832214,0.33872199058532715,9.0
-1.0,-1.0,17.852348993288594,0.22777199745178223,9.0
-1.0,1.0,-15.436241610738255,0.2798340320587158,8.0
1.0,-1.0,-14.899328859060404,0.1965489387512207,9.0
1.0,1.0,7.919463087248321,0.12953495979309082,9.0
1.0,1.0,14.093959731543627,0.14493799209594727,3.0
-1.0,1.0,-3.892617449664428,0.19696903228759766,9.0
-1.0,-1.0,18.926174496644293,0.35558509826660156,9.0
1.0,-1.0,6.040268456375838,0.14121198654174805,3.0
-1.0,-1.0,-7.651006711409396,0.1960008144378662,8.0
1.0,1.0,8.724832214765101,0.15022611618041992,9.0
1.0,1.0,9.798657718120804,0.1994800567626953,9.0
1.0,1.0,3.892617449664428,0.13552594184875488,9.0
1.0,-1.0,-8.993288590604028,0.2857367992401123,9.0
1.0,-1.0,5.771812080536911,0.2251579761505127,9.0
-1.0,-1.0,-19.463087248322147,0.4002571105957031,8.0
-1.0,1.0,-16.241610738255034,0.24565696716308594,3.0
-1.0,1.0,-15.167785234899329,0.24632692337036133,3.0
-1.0,-1.0,-18.389261744966444,0.23717880249023438,8.0
-1.0,-1.0,-17.04697986577181,0.2851722240447998,3.0
1.0,-1.0,-12.751677852348994,0.27567481994628906,9.0
-1.0,-1.0,-4.429530201342281,0.4998910427093506,8.0
-1.0,1.0,-8.456375838926174,0.32643604278564453,8.0
1.0,-1.0,7.651006711409398,0.19156193733215332,8.0
-1.0,-1.0,19.194630872483224,0.271651029586792,3.0
-1.0,-1.0,-16.51006711409396,0.20997405052185059,8.0
-1.0,1.0,-6.577181208053691,0.24370694160461426,8.0
1.0,1.0,14.899328859060404,0.18347716331481934,9.0
