ans,contrast,shift,delay,figure
1.0,1.0,16.241610738255034,0.2552180290222168,3.0
1.0,1.0,6.845637583892618,0.21348786354064941,5.0
1.0,1.0,3.355704697986578,0.16359686851501465,4.0
1.0,1.0,2.550335570469798,0.0872797966003418,4.0
1.0,1.0,8.456375838926174,0.05338907241821289,4.0
1.0,1.0,7.651006711409398,0.08396506309509277,4.0
1.0,-1.0,10.06711409395973,0.134246826171875,3.0
1.0,-1.0,17.583892617449663,0.14393115043640137,4.0
1.0,-1.0,-13.557046979865772,0.10067296028137207,4.0
1.0,1.0,10.604026845637584,0.19362306594848633,4.0
1.0,-1.0,-3.0872483221476514,0.12950491905212402,3.0
1.0,-1.0,18.120805369127517,0.13247394561767578,3.0
1.0,-1.0,13.288590604026844,0.11595296859741211,3.0
1.0,1.0,-13.288590604026846,0.16573596000671387,3.0
-1.0,1.0,-15.436241610738255,0.2453479766845703,4.0
-1.0,1.0,-17.583892617449663,0.4227910041809082,4.0
-1.0,-1.0,17.852348993288594,0.17699503898620605,5.0
1.0,-1.0,11.946308724832214,0.2097170352935791,5.0
1.0,1.0,4.966442953020135,0.13636112213134766,5.0
-1.0,1.0,-6.0402684563758395,0.29320287704467773,3.0
1.0,-1.0,-16.778523489932887,0.22435307502746582,5.0
-1.0,1.0,-16.51006711409396,0.2132260799407959,4.0
1.0,-1.0,-15.973154362416107,0.21194195747375488,5.0
-1.0,-1.0,0.40268456375838824,0.17827296257019043,4.0
1.0,1.0,0.6711409395973149,0.7082688808441162,5.0
1.0,-1.0,6.308724832214764,0.1818530559539795,3.0
-1.0,1.0,-16.241610738255034,0.1454758644104004,3.0
-1.0,1.0,-19.19463087248322,0.2133481502532959,3.0
1.0,1.0,14.630872483221474,0.2918119430541992,4.0
-1.0,-1.0,-10.06711409395973,0.19291305541992188,3.0
-1.0,1.0,-6.845637583892618,0.14861702919006348,5.0
-1.0,-1.0,-11.946308724832214,0.19349408149719238,5.0
-1.0,1.0,-3.624161073825505,0.14899992942810059,4.0
