ans,contrast,shift,delay,figure
1.0,1.0,10.604026845637584,0.2376718521118164,2.0
-1.0,1.0,-13.557046979865772,0.2294921875,2.0
-1.0,1.0,-6.308724832214764,0.15785479545593262,1.0
1.0,1.0,7.651006711409398,0.1620190143585205,2.0
1.0,1.0,-11.946308724832214,0.17870688438415527,3.0
-1.0,-1.0,1.476510067114095,0.3219139575958252,2.0
1.0,1.0,13.02013422818792,0.20680904388427734,1.0
1.0,-1.0,-3.892617449664428,0.13151884078979492,3.0
1.0,1.0,0.40268456375838824,0.5952029228210449,2.0
-1.0,-1.0,-7.1140939597315445,0.48711705207824707,1.0
1.0,1.0,3.892617449664428,0.17784595489501953,3.0
-1.0,-1.0,1.7449664429530216,3.8825199604034424,3.0
1.0,-1.0,14.093959731543627,0.529789924621582,1.0
-1.0,-1.0,-7.651006711409396,0.30024194717407227,2.0
1.0,-1.0,-15.70469798657718,0.4463958740234375,3.0
1.0,-1.0,-12.21476510067114,0.2407548427581787,1.0
1.0,-1.0,-10.06711409395973,0.27120113372802734,1.0
1.0,1.0,9.261744966442954,0.2095179557800293,1.0
-1.0,-1.0,-2.550335570469798,0.2173469066619873,2.0
-1.0,1.0,-1.2080536912751683,0.4216749668121338,1.0
1.0,-1.0,-1.7449664429530216,0.1426692008972168,3.0
-1.0,-1.0,-3.624161073825505,0.22859406471252441,2.0
-1.0,1.0,-9.261744966442953,0.19154000282287598,1.0
-1.0,-1.0,-7.919463087248323,0.22543001174926758,3.0
-1.0,1.0,-13.288590604026846,0.14703011512756348,1.0
1.0,1.0,8.187919463087248,0.22630906105041504,1.0
1.0,-1.0,12.75167785234899,0.35202884674072266,3.0
1.0,-1.0,-11.140939597315436,0.2248399257659912,1.0
1.0,-1.0,-18.120805369127517,0.2528109550476074,1.0
-1.0,-1.0,-19.463087248322147,0.3209388256072998,2.0
1.0,1.0,10.335570469798657,0.23351001739501953,2.0
-1.0,1.0,-2.8187919463087248,0.21163105964660645,3.0
-1.0,-1.0,12.214765100671144,0.2724800109863281,1.0
1.0,1.0,0.9395973154362416,0.2264389991760254,3.0
1.0,-1.0,8.724832214765101,0.19888806343078613,3.0
1.0,1.0,-12.751677852348994,0.3822448253631592,3.0
-1.0,-1.0,1.2080536912751683,0.20762991905212402,1.0
1.0,-1.0,-0.9395973154362416,0.20680999755859375,3.0
1.0,1.0,6.040268456375838,0.19655394554138184,1.0
1.0,1.0,5.503355704697988,0.15739107131958008,2.0
-1.0,1.0,-6.0402684563758395,0.24371981620788574,1.0
1.0,1.0,8.456375838926174,0.26325488090515137,2.0
-1.0,1.0,-8.456375838926174,0.17785000801086426,2.0
-1.0,1.0,-8.187919463087248,0.20412778854370117,1.0
1.0,1.0,-18.926174496644297,0.1984720230102539,3.0
-1.0,-1.0,13.557046979865774,0.24749493598937988,2.0
1.0,1.0,11.677852348993287,3.2447590827941895,3.0
1.0,-1.0,-16.51006711409396,0.9335520267486572,2.0
-1.0,1.0,-19.731543624161073,0.4498121738433838,3.0
-1.0,1.0,-13.02013422818792,0.17802190780639648,1.0
-1.0,1.0,-2.2818791946308714,0.26181912422180176,1.0
-1.0,-1.0,-12.483221476510067,0.27567505836486816,2.0
1.0,1.0,0.6711409395973149,0.5449271202087402,3.0
1.0,1.0,3.355704697986578,0.1862959861755371,2.0
-1.0,-1.0,-16.241610738255034,0.4157140254974365,1.0
-1.0,-1.0,16.241610738255034,0.3368980884552002,1.0
1.0,-1.0,19.463087248322147,0.3105900287628174,2.0
-1.0,-1.0,4.697986577181208,0.2295529842376709,3.0
-1.0,-1.0,-17.583892617449663,0.31815505027770996,2.0
-1.0,1.0,-14.630872483221477,0.1688539981842041,2.0
1.0,1.0,11.140939597315437,0.18138408660888672,1.0
-1.0,1.0,-5.771812080536913,0.3884389400482178,3.0
